#day,high,avg,low,sum,events,month
20,29,24,20,0,,11
21,29,23,17,0,,11
22,35,27,18,0,"Rain , Thunderstorm",11
23,28,25,22,0,"Rain , Thunderstorm",11
24,26,23,19,0,Rain,11
25,26,20,13,0,,11
26,30,22,13,0,,11
27,32,24,17,0,Fog,11
28,33,25,17,0,,11
29,29,24,19,0,,11
30,32,27,22,0,,11
1,26,23,21,8.89,"Rain , Thunderstorm",12
2,31,26,20,0,,12
3,35,26,16,0,,12
4,33,27,22,0,Rain,12
5,33,28,23,0,,12
6,36,29,22,0,,12
7,33,28,24,6.1,"Rain , Thunderstorm",12
8,29,24,21,1.02,Rain,12
9,32,24,17,0,,12
10,37,28,18,0,,12
11,31,26,21,19.05,"Rain , Thunderstorm",12
12,26,22,19,0.51,Rain,12
13,27,24,21,4.06,Rain,12
14,28,24,21,0,,12
15,32,26,19,0,,12
16,35,28,21,0,Thunderstorm,12
17,32,26,21,14.99,"Rain , Thunderstorm",12
18,31,26,21,0,,12
19,31,27,23,0.51,Rain,12
20,38,31,24,23.11,"Rain , Thunderstorm",12
21,23,21,20,16,Rain,12
22,28,23,18,0,,12
23,34,26,18,0,,12
24,38,30,22,0,,12
25,39,32,26,0,Thunderstorm,12
26,27,23,20,7.11,"Rain , Thunderstorm",12
27,21,19,17,16,Rain,12
28,21,19,17,30.99,Rain,12
29,28,23,19,0,,12
30,34,27,19,0,,12
31,35,29,23,2.03,"Rain , Thunderstorm",12
1,24,22,20,27.94,"Rain , Thunderstorm",1
2,23,20,17,0,,1
3,28,22,16,0,,1
4,32,26,19,0,,1
5,31,26,20,3.05,Rain,1
6,30,26,21,0,,1
7,31,27,23,0,"Rain , Thunderstorm",1
8,28,26,22,18.03,"Rain , Thunderstorm",1
9,29,26,22,0,,1
10,28,24,20,0,,1
11,27,22,17,0,,1
12,28,22,17,0,,1
13,29,23,17,0,,1
14,30,25,20,0,,1
15,29,25,21,0,,1
16,30,26,21,0,,1
17,31,26,21,0,Fog,1
18,28,26,23,1.02,Rain,1
19,28,24,20,3.05,Rain,1
20,27,23,21,0.25,,1
21,28,23,19,0,,1
22,29,24,19,0,,1
23,34,27,19,0,,1
24,35,28,22,2.03,"Rain , Thunderstorm",1
25,30,26,22,0,Rain,1
26,25,21,17,0,,1
27,28,21,14,0,,1
28,31,23,16,0,,1
29,32,26,18,0,,1
30,34,27,20,0,,1
31,36,28,21,0,,1
1,37,29,22,0,,2
2,31,27,22,8.89,Rain,2
3,27,23,21,1.02,"Rain , Thunderstorm",2
4,27,22,17,0,,2
5,27,22,16,0,,2
6,29,24,20,0,,2
7,29,24,21,0,,2
8,27,23,19,0,Rain,2
9,28,25,22,0.76,Rain,2
10,31,27,22,0.25,"Rain , Thunderstorm",2
11,32,27,21,0.76,"Rain , Thunderstorm",2
12,31,27,23,0.25,Rain,2
13,32,28,23,0.51,Rain,2
14,34,28,22,7.87,"Rain , Thunderstorm",2
15,29,26,23,9.91,Rain,2
16,32,27,23,0,,2
17,33,28,22,0,Fog,2
18,31,27,23,0,,2
19,28,26,23,0,,2
20,32,28,23,23.88,"Rain , Thunderstorm",2
21,30,26,22,7.87,"Rain , Thunderstorm",2
22,27,23,20,0,Rain,2
23,29,24,19,0,,2
24,33,26,19,0,,2
25,28,25,22,4.06,Rain,2
26,26,22,19,0,Rain,2
27,26,20,15,0,,2
28,27,21,14,0,,2
1,31,23,16,0,,3
2,33,27,20,0,,3
3,28,24,22,7.87,"Rain , Thunderstorm",3
4,24,22,19,7.11,Rain,3
5,25,21,17,0,Rain,3
6,27,21,15,0,,3
7,31,23,16,0,,3
8,28,24,21,1.02,"Fog , Rain",3
9,27,24,21,0,Rain,3
10,28,25,22,0,,3
11,29,23,18,0,Rain,3
12,23,22,20,2.03,"Rain , Thunderstorm",3
13,23,21,19,0.76,Rain,3
14,25,20,15,0,,3
15,21,19,18,2.03,Rain,3
16,21,19,17,0,Rain,3
17,23,20,16,0,,3
18,22,17,11,0,,3
19,24,21,18,3.05,Rain,3
20,21,20,18,10.92,Rain,3
21,27,22,17,0,Fog,3
22,27,23,18,0,,3
23,27,21,15,0,Fog,3
24,24,19,13,0,,3
